place,lat,lon
Andorra,42546245,1601554
United Arab Emirates,23424076,53847818
Afghanistan,3393911,67709953
Antigua and Barbuda,17060816,-61796428
Anguilla,18220554,-63068615
Albania,41153332,20168331
Armenia,40069099,45038189
Netherlands Antilles,12226079,-69060087
Angola,-11202692,17873887
Antarctica,-75250973,-0.071389
Argentina,-38416097,-63616672
American Samoa,-14270972,-170132217
Austria,47516231,14550072
Australia,-25274398,133775136
Aruba,1252111,-69968338
Azerbaijan,40143105,47576927
Bosnia and Herzegovina,43915886,17679076
Barbados,13193887,-59543198
Bangladesh,23684994,90356331
Belgium,50503887,4469936
Burkina Faso,12238333,-1561593
Bulgaria,42733883,2548583
Bahrain,25930414,50637772
Burundi,-3373056,29918886
Benin,930769,2315834
Bermuda,32321384,-6475737
Brunei,4535277,114727669
Bolivia,-16290154,-63588653
Brazil,-14235004,-5192528
Bahamas,2503428,-7739628
Bhutan,27514162,90433601
Bouvet Island,-54423199,3413194
Botswana,-22328474,24684866
Belarus,53709807,27953389
Belize,17189877,-8849765
Canada,56130366,-106346771
Cocos [Keeling] Islands,-12164165,96870956
Congo [DRC],-4038333,21758664
Central African Republic,6611111,20939444
Congo [Republic],-0.228021,15827659
Switzerland,46818188,8227512
Côte d'Ivoire,7539989,-554708
Cook Islands,-21236736,-159777671
Chile,-35675147,-71542969
Cameroon,7369722,12354722
China,3586166,104195397
Colombia,4570868,-74297333
Costa Rica,9748917,-83753428
Cuba,21521757,-77781167
Cape Verde,16002082,-24013197
Christmas Island,-10447525,105690449
Cyprus,35126413,33429859
Czech Republic,49817492,15472962
Germany,51165691,10451526
Djibouti,11825138,42590275
Denmark,5626392,9501785
Dominica,15414999,-61370976
Dominican Republic,18735693,-70162651
Algeria,28033886,1659626
Ecuador,-1831239,-78183406
Estonia,58595272,25013607
Egypt,26820553,30802498
Western Sahara,24215527,-12885834
Eritrea,15179384,39782334
Spain,40463667,-374922
Ethiopia,9145,40489673
Finland,6192411,25748151
Fiji,-16578193,179414413
Falkland Islands [Islas Malvinas],-51796253,-59523613
Micronesia,7425554,150550812
Faroe Islands,61892635,-6911806
France,46227638,2213749
Gabon,-0.803689,11609444
United Kingdom,55378051,-3435973
Grenada,12262776,-61604171
Georgia,42315407,43356892
French Guiana,3933889,-53125782
Guernsey,49465691,-2585278
Ghana,7946527,-1023194
Gibraltar,36137741,-5345374
Greenland,71706936,-42604303
Gambia,13443182,-15310139
Guinea,9945587,-9696645
Guadeloupe,16995971,-62067641
Equatorial Guinea,1650801,10267895
Greece,39074208,21824312
South Georgia and the South Sandwich Islands,-54429579,-36587909
Guatemala,15783471,-90230759
Guam,13444304,144793731
Guinea-Bissau,11803749,-15180413
Guyana,4860416,-5893018
Gaza Strip,31354676,34308825
Hong Kong,22396428,114109497
Heard Island and McDonald Islands,-5308181,73504158
Honduras,15199999,-86241905
Croatia,45.1,15.2
Haiti,18971187,-72285215
Hungary,47162494,19503304
Indonesia,-0.789275,113921327
Ireland,5341291,-824389
Israel,31046051,34851612
Isle of Man,54236107,-4548056
India,20593684,7896288
British Indian Ocean Territory,-6343194,71876519
Iraq,33223191,43679291
Iran,32427908,53688046
Iceland,64963051,-19020835
Italy,4187194,1256738
Jersey,49214439,-213125
Jamaica,18109581,-77297508
Jordan,30585164,36238414
Japan,36204824,138252924
Kenya,-0.023559,37906193
Kyrgyzstan,4120438,74766098
Cambodia,12565679,104990963
Kiribati,-3370417,-168734039
Comoros,-11875001,43872219
Saint Kitts and Nevis,17357822,-62782998
North Korea,40339852,127510093
South Korea,35907757,127766922
Kuwait,2931166,47481766
Cayman Islands,19513469,-80566956
Kazakhstan,48019573,66923684
Laos,1985627,102495496
Lebanon,33854721,35862285
Saint Lucia,13909444,-60978893
Liechtenstein,47166,9555373
Sri Lanka,7873054,80771797
Liberia,6428055,-9429499
Lesotho,-29609988,28233608
Lithuania,55169438,23881275
Luxembourg,49815273,6129583
Latvia,56879635,24603189
Libya,263351,17228331
Morocco,31791702,-709262
Monaco,43750298,7412841
Moldova,47411631,28369885
Montenegro,42708678,1937439
Madagascar,-18766947,46869107
Marshall Islands,7131474,171184478
Macedonia [FYROM],41608635,21745275
Mali,17570692,-3996166
Myanmar [Burma],21913965,95956223
Mongolia,46862496,103846656
Macau,22198745,113543873
Northern Mariana Islands,1733083,14538469
Martinique,14641528,-61024174
Mauritania,2100789,-10940835
Montserrat,16742498,-62187366
Malta,35937496,14375416
Mauritius,-20348404,57552152
Maldives,3202778,7322068
Malawi,-13254308,34301525
Mexico,23634501,-102552784
Malaysia,4210484,101975766
Mozambique,-18665695,35529562
Namibia,-2295764,1849041
New Caledonia,-20904305,165618042
Niger,17607789,8081666
Norfolk Island,-29040835,167954712
Nigeria,9081999,8675277
Nicaragua,12865416,-85207229
Netherlands,52132633,5291266
Norway,60472024,8468946
Nepal,28394857,84124008
Nauru,-0.522778,166931503
Niue,-19054445,-169867233
New Zealand,-40900557,174885971
Oman,21512583,55923255
Panama,8537981,-80782127
Peru,-9189967,-75015152
French Polynesia,-17679742,-149406843
Papua New Guinea,-6314993,14395555
Philippines,12879721,121774017
Pakistan,30375321,69345116
Poland,51919438,19145136
Saint Pierre and Miquelon,46941936,-5627111
Pitcairn Islands,-24703615,-127439308
Puerto Rico,18220833,-66590149
Palestinian Territories,31952162,35233154
Portugal,39399872,-8224454
Palau,751498,13458252
Paraguay,-23442503,-58443832
Qatar,25354826,51183884
Réunion,-21115141,55536384
Romania,45943161,2496676
Serbia,44016521,21005859
Russia,6152401,105318756
Rwanda,-1940278,29873888
Saudi Arabia,23885942,45079162
Solomon Islands,-964571,160156194
Seychelles,-4679574,55491977
Sudan,12862807,30217636
Sweden,60128161,18643501
Singapore,1352083,103819836
Saint Helena,-24143474,-10030696
Slovenia,46151241,14995463
Svalbard and Jan Mayen,77553604,23670272
Slovakia,48669026,19699024
Sierra Leone,8460555,-11779889
San Marino,4394236,12457777
Senegal,14497401,-14452362
Somalia,5152149,46199616
Suriname,3919305,-56027783
São Tomé and Príncipe,0.18636,6613081
El Salvador,13794185,-8889653
Syria,34802075,38996815
Swaziland,-26522503,31465866
Turks and Caicos Islands,21694025,-71797928
Chad,15454166,18732207
French Southern Territories,-49280366,69348557
Togo,8619543,0.824782
Thailand,15870032,100992541
Tajikistan,38861034,71276093
Tokelau,-8967363,-171855881
Timor-Leste,-8874217,125727539
Turkmenistan,38969719,59556278
Tunisia,33886917,9537499
Tonga,-21178986,-175198242
Turkey,38963745,35243322
Trinidad and Tobago,10691803,-61222503
Tuvalu,-7109535,17764933
Taiwan,2369781,120960515
Tanzania,-6369028,34888822
Ukraine,48379433,3116558
Uganda,1373333,32290275
U.S. Minor Outlying Islands,,
United States,3709024,-95712891
Uruguay,-32522779,-55765835
Uzbekistan,41377491,64585262
Vatican City,41902916,12453389
Saint Vincent and the Grenadines,12984305,-61287228
Venezuela,642375,-6658973
British Virgin Islands,18420695,-64639968
U.S. Virgin Islands,18335765,-64896335
Vietnam,14058324,108277199
Vanuatu,-15376706,166959158
Wallis and Futuna,-13768752,-177156097
Samoa,-13759029,-172104629
Kosovo,42602636,20902977
Yemen,15552727,48516388
Mayotte,-128275,45166244
South Africa,-30559482,22937506
Zambia,-13133897,27849332
Zimbabwe,-19015438,29154857
